Measure Mode: process_time_time
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 0.021020
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.018     0.000     0.000     0.018        4  *ActiveSupport::Callbacks#run_callbacks
  0.07      0.000     0.000     0.000     0.000        1   Rack::Utils#parse_query
  0.07      0.000     0.000     0.000     0.000        2   Sprockets::Rails::Helper#compute_integrity?
  0.07      0.004     0.000     0.000     0.004        3   Enumerable#detect
  0.07      0.000     0.000     0.000     0.000        3   Rack::Utils#clean_path_info
  0.07      0.003     0.000     0.000     0.003        2   Sprockets::Resolve#resolve_under_paths
  0.07      0.017     0.000     0.000     0.017        1   Rack::ETag#call
  0.07      0.000     0.000     0.000     0.000        3   ActiveSupport::HashWithIndifferentAccess#key?
  0.07      0.000     0.000     0.000     0.000        2   <Class::OpenSSL::HMAC>#hexdigest
  0.07      0.000     0.000     0.000     0.000        6   Time#minus_without_duration
  0.07      0.000     0.000     0.000     0.000        3   ActionDispatch::Response#body=
  0.07      0.000     0.000     0.000     0.000        4   ActionView::LookupContext::ViewPaths#args_for_lookup
  0.07      0.000     0.000     0.000     0.000        9   ActionController::LogSubscriber#logger
  0.07      0.003     0.000     0.000     0.003        1   Sprockets::Rails::Helper#javascript_include_tag
  0.07      0.000     0.000     0.000     0.000        9   #<Class:0x006150c87103e8>#logger
  0.07      0.000     0.000     0.000     0.000       16   String#original_concat
  0.07      0.000     0.000     0.000     0.000        2   MonitorMixin#mon_initialize
  0.07      0.000     0.000     0.000     0.000        8   ActionView::LogSubscriber#logger
  0.07      0.000     0.000     0.000     0.000        4   ActiveSupport::Notifications::Fanout::Subscribers::Timed#start
  0.07      0.000     0.000     0.000     0.000       11   Array#compact
  0.07      0.000     0.000     0.000     0.000       18   Array#last
  0.07      0.000     0.000     0.000     0.000       11   String#concat
  0.07      0.000     0.000     0.000     0.000        3   Analytical::Modules::Base#queue
  0.07      0.020     0.000     0.000     0.020        1   ActionDispatch::Integration::Runner#get
  0.07      0.000     0.000     0.000     0.000        6   Object#presence
  0.07      0.000     0.000     0.000     0.000        5   ActionView::Helpers::OutputSafetyHelper#raw
  0.06      0.000     0.000     0.000     0.000        2   ActionDispatch::Request#local?
  0.06      0.000     0.000     0.000     0.000        3   Object#try
  0.06      0.001     0.000     0.000     0.001       11   Mutex_m#mu_synchronize
  0.06      0.000     0.000     0.000     0.000        1   Gem::Version#<=>
  0.06      0.000     0.000     0.000     0.000        2   <Class::ActionView::LookupContext::DetailsKey>#get
  0.06      0.013     0.000     0.000     0.013        1   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime
  0.06      0.000     0.000     0.000     0.000       10   Kernel#instance_variable_set
  0.06      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::LogSubscriber>#reset_runtime
  0.06      0.000     0.000     0.000     0.000        3   ActionView::OutputBuffer#initialize
  0.06      0.000     0.000     0.000     0.000        2   ActionView::AbstractRenderer#prepend_formats
  0.06      0.000     0.000     0.000     0.000        3   ActionView::LogSubscriber#from_rails_root
  0.06      0.000     0.000     0.000     0.000        4   Analytical::Modules::Base#initialize
  0.06      0.000     0.000     0.000     0.000        2   ActiveSupport::MessageVerifier#generate_digest
  0.06      0.000     0.000     0.000     0.000        8   Logger#format_severity
  0.06      0.000     0.000     0.000     0.000        4   String#camelize
  0.06      0.000     0.000     0.000     0.000        1   ActionView::Helpers::TagHelper#tag
  0.06      0.000     0.000     0.000     0.000        4   ActiveSupport::Inflector#inflections
  0.06      0.000     0.000     0.000     0.000        5   ActiveSupport::Notifications::Event#duration
  0.06      0.000     0.000     0.000     0.000        2   ActionView::Helpers::ControllerHelper#assign_controller
  0.06      0.001     0.000     0.000     0.001        3   Analytical::Api#init_javascript
  0.06      0.000     0.000     0.000     0.000        3   String#unpack
  0.06      0.000     0.000     0.000     0.000        8   ThreadSafe::MriCacheBackend#[]=
  0.06      0.021     0.000     0.000     0.021        1   ActiveSupport::Testing::Performance#run_test
  0.06      0.000     0.000     0.000     0.000        2   Sprockets::Rails::Helper#secure_subresource_integrity_context?
  0.06      0.000     0.000     0.000     0.000        3   ActiveSupport::JSON::Encoding::JSONGemEncoder#stringify
  0.06      0.001     0.000     0.000     0.000        2   ActionDispatch::Session::CookieStore#cookie_jar
  0.06      0.000     0.000     0.000     0.000        4   ActionView::Base#digest_assets
  0.06      0.000     0.000     0.000     0.000        3   Analytical::Api#get_mod
  0.06      0.000     0.000     0.000     0.000        1   Rack::Test::Cookie#valid?
