Measure Mode: allocations
Thread ID: 53499760661280
Fiber ID: 53499815771480
Total: 3216.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      3.000     3.000     0.000     0.000        3   Object#try
  0.09   2678.000     3.000     0.000  2675.000        4  *ActiveSupport::Callbacks#run_callbacks
  0.09    475.000     3.000     0.000   472.000        1   ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.09      3.000     3.000     0.000     0.000        3   ActionView::OutputBuffer#initialize
  0.09      3.000     3.000     0.000     0.000        3   ActionView::Helpers::UrlHelper#convert_options_to_data_attributes
  0.09      3.000     3.000     0.000     0.000        3   <Class::File>#file?
  0.09      5.000     3.000     0.000     2.000        1   IPAddr#to_range
  0.09     80.000     3.000     0.000    77.000        3   ActionDispatch::Http::Parameters#parameters
  0.09      3.000     3.000     0.000     0.000        3   Rack::Utils::KeySpaceConstrainedParams#initialize
  0.09     42.000     3.000     0.000    39.000        3   ActiveSupport::JSON::Encoding::JSONGemEncoder#stringify
  0.09      3.000     3.000     0.000     0.000        3   URI::Generic#split_userinfo
  0.09      6.000     3.000     0.000     3.000        3   URI::Generic#set_userinfo
  0.09     34.000     3.000     0.000    31.000        3   URI::Parser#split
  0.09     47.000     3.000     0.000    44.000        1   ActionDispatch::FileHandler#match?
  0.09      3.000     3.000     0.000     0.000        3   ActiveSupport::JSON::Encoding::JSONGemEncoder#initialize
  0.09      3.000     3.000     0.000     0.000        3   String#chomp
  0.09   2810.000     3.000     0.000  2807.000        1   ActionDispatch::Static#call
  0.09   2675.000     3.000     0.000  2672.000        6  *ActiveSupport::Callbacks#__run_callbacks__
  0.09      3.000     3.000     0.000     0.000        1   ActionDispatch::Cookies::CookieJar#initialize
  0.09     22.000     3.000     0.000    19.000        1   Rack::Test::Cookie#valid?
  0.09     13.000     3.000     0.000    10.000        2   ActionDispatch::Http::MimeNegotiation#formats
  0.09      3.000     3.000     0.000     0.000        3   Analytical::Modules::Console#check_for_console
  0.09     72.000     3.000     0.000    69.000        2   ActionDispatch::Request#cookie_jar
  0.09    116.000     3.000     0.000   113.000        3  *ActionDispatch::Session::StaleSessionCheck#stale_session_check!
  0.09     21.000     3.000     0.000    18.000        3   ActiveSupport::Inflector#constantize
  0.06      6.000     2.000     0.000     4.000        1   Rack::Response#finish
  0.06      7.000     2.000     0.000     5.000        1   Enumerable#all?
  0.06      2.000     2.000     0.000     0.000        3   Array#uniq
  0.06     98.000     2.000     0.000    96.000        1   ActionView::PartialRenderer#render_partial
  0.06     50.000     2.000     0.000    48.000        2   Analytical::Api::ImmediateDelegateHelper#method_missing
  0.06      2.000     2.000     0.000     0.000        1   Enumerable#flat_map
  0.06     29.000     2.000     0.000    27.000        3   ActionDispatch::RemoteIp::GetIp#ips_from
  0.06      2.000     2.000     0.000     0.000        1   Rack::Test::Session#initialize
  0.06     14.000     2.000     0.000    12.000        2   ActionView::PathSet#find
  0.06      2.000     2.000     0.000     0.000        1   Rails::Rack::Logger#finish
  0.06      2.000     2.000     0.000     0.000        2   String#tr
  0.06      7.000     2.000     0.000     5.000        1   Rack::Test::Session#default_env
  0.06      2.000     2.000     0.000     0.000        3   <Class::Proc>#new
  0.06     43.000     2.000     0.000    41.000        1   Analytical::Api#body_prepend_javascript
  0.06     38.000     2.000     0.000    36.000        2   ActionView::LookupContext::ViewPaths#find
  0.06     17.000     2.000     0.000    15.000        1   ActionView::TemplateRenderer#determine_template
  0.06   2598.000     2.000     0.000  2596.000        1   Rack::ETag#call
  0.06      2.000     2.000     0.000     0.000        1   ActiveSupport::Inflector#underscore
  0.06    704.000     2.000     0.000   702.000        2   Sprockets::Resolve#resolve_under_paths
  0.06     14.000     2.000     0.000    12.000        2   Sprockets::Transformers#expand_transform_accepts
  0.06    161.000     2.000     0.000   159.000        1   Analytical::Api#body_append_javascript
  0.06     55.000     2.000     0.000    53.000        1   Analytical::Modules::Clicky#identify
  0.06   2647.000     2.000     0.000  2645.000        1   ActionDispatch::Cookies#call
  0.06    744.000     2.000     0.000   742.000        2   Sprockets::Resolve#resolve_logical_path
